,cancellation_policy_x0_flexible,cancellation_policy_x0_moderate,cancellation_policy_x0_strict_14_with_grace_period,accommodates,room_type_x0_Entire home/apt,availability_90,bedrooms,neighbourhood_group_cleansed_x0_Mitte,guests_included,cleaning_fee,calculated_host_listings_count,bathrooms,neighbourhood_cleansed_x0_Moabit West,neighbourhood_cleansed_x0_Osloer Straße,neighbourhood_cleansed_x0_Parkviertel,property_type_x0_Apartment,neighbourhood_cleansed_x0_Wedding Zentrum,neighbourhood_group_cleansed_x0_Friedrichshain-Kreuzberg,last_reviewYear_is_na,host_listings_count_is_na,host_sinceElapsed,host_sinceYear,last_reviewElapsed,price
0,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,8.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1442275200,2015.0,1486944000,33.0
1,0.0,1.0,0.0,2,0.0,0,1.0,0.0,1,26.722821145603326,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,True,False,1468800000,2016.0,-9223372037,25.0
2,0.0,1.0,0.0,2,1.0,76,1.0,1.0,1,150.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,1315526400,2011.0,-9223372037,80.0
3,0.0,1.0,0.0,1,0.0,0,1.0,1.0,1,5.0,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,1504656000,2017.0,1538870400,18.0
4,0.0,1.0,0.0,3,0.0,5,1.0,1.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1386374400,2013.0,1538784000,29.0
5,0.0,0.0,1.0,4,1.0,0,2.0,0.0,2,45.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,False,False,1387238400,2013.0,1445817600,55.0
6,1.0,0.0,0.0,2,0.0,0,1.0,0.0,1,8.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1406160000,2014.0,1505001600,27.0
7,1.0,0.0,0.0,3,0.0,0,1.0,0.0,1,26.722821145603326,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1442275200,2015.0,1483315200,30.0
8,0.0,1.0,0.0,2,1.0,4,1.0,0.0,1,30.0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1370563200,2013.0,1420329600,60.0
9,0.0,0.0,1.0,2,1.0,0,1.0,0.0,1,30.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1414972800,2014.0,1523577600,80.0
10,0.0,1.0,0.0,3,1.0,29,0.0,0.0,2,40.0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,1501632000,2017.0,1539993600,58.0
11,0.0,0.0,1.0,4,1.0,30,1.0,0.0,2,30.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,1405814400,2014.0,1541289600,40.0
